#{"t_start": 1590447210.9345386, "env_id": "eximo-v0"}
r,l,t
-1,16149,29.54855
1,14552,55.023999
1,18229,87.023582
1,15270,114.061297
-1,29160,164.798867
-1,27761,213.369081
1,25459,258.331309
1,22682,297.845063
-1,26022,343.761007
1,16557,372.973938
-1,30193,425.762534
1,27425,475.013824
1,45719,556.739345
1,30315,610.673911
1,30977,664.835087
-1,27423,713.642919
1,25716,759.320229
1,31216,814.62535
1,32406,871.632524
1,24823,916.280364
1,27076,964.674529
1,27891,1013.843223
1,22341,1053.689667
1,11970,1075.120904
1,24018,1117.470801
1,24616,1160.40269
1,18122,1192.255286
-1,25347,1236.789824
1,48764,1323.472493
1,21445,1361.602237
-1,16991,1391.689763
1,40395,1463.904989
1,17410,1494.839275
1,26596,1541.681225
1,21805,1579.985732
1,33722,1640.008784
-1,35613,1704.466933
1,29147,1756.332662
1,14575,1781.985008
1,27918,1832.365654
-1,40608,1904.301732
1,25288,1948.749777
-1,29692,2001.266984
1,38490,2069.08824
1,25124,2113.669683
-1,41996,2188.86274
1,27528,2237.216009
1,37151,2303.064787
-1,32160,2360.119781
1,32524,2417.074328
1,16700,2446.844098
-1,27274,2495.296867
-1,27554,2543.999764
1,34187,2605.207824
-1,55279,2702.941173
1,42226,2777.688484
1,32889,2836.230944
1,26227,2882.312621
1,20328,2918.107322
1,35065,2980.186982
1,20509,3016.360737
1,20899,3053.595248
1,15460,3080.720364
1,16900,3111.125791
1,29699,3164.347217
-1,29391,3216.768445
-1,25164,3260.963767
1,30240,3315.08333
1,28083,3365.040141
1,38097,3431.526107
1,15109,3458.451161
-1,17647,3489.278359
1,15849,3517.474517
-1,31037,3571.590866
1,32430,3628.378877
1,19905,3664.077517
-1,43812,3741.212379
1,32706,3799.276803
1,24432,3842.486741
-1,25346,3887.552664
-1,39226,3957.758991
1,27391,4005.762829
-1,23938,4048.144649
-1,30891,4102.866538
1,13606,4127.196213
1,20737,4164.031106
-1,20161,4199.516478
1,28344,4249.795054
1,19477,4283.64313
1,24294,4327.056414
1,23375,4368.222759
-1,29420,4419.446526
1,22384,4459.327346
-1,23126,4500.303108
1,14110,4525.221681
-1,38387,4592.905176
-1,34177,4653.38398
1,34673,4714.536426
1,20246,4750.574889
1,31485,4806.432362
1,23554,4847.880755
1,18414,4880.629777
-1,26206,4927.083343
1,15395,4953.426548
1,21085,4991.317576
1,38056,5059.097972
-1,44020,5136.840664
-1,12070,5158.38341
1,16749,5187.790345
-1,35431,5250.79558
1,33225,5309.142217
-1,19438,5343.734824
1,19665,5378.317111
1,19205,5411.962965
-1,18168,5443.933096
-1,31167,5499.012233
1,26948,5547.111906
-1,19491,5582.172638
1,28312,5632.508332
-1,23737,5674.811302
-1,46372,5756.711035
-1,44924,5836.387006
1,20511,5872.607089
1,26116,5918.647921
1,22323,5958.27532
1,19749,5993.17229
-1,24749,6036.74909
-1,17792,6068.780968
1,14899,6094.635716
1,33080,6153.196934
1,18273,6185.725337
-1,39337,6255.396051
1,47157,6339.121329
-1,26359,6386.147982
1,33781,6445.675184
-1,58148,6548.34083
-1,13939,6573.284962
1,32251,6629.279351
-1,56315,6728.07209
-1,38464,6795.631913
-1,27253,6843.378622
1,24466,6886.524621
-1,39771,6955.873717
1,24955,6999.818533
-1,40794,7071.786614
1,19509,7106.380193
1,24730,7150.135571
1,39674,7220.229082
1,26634,7267.66053
1,18494,7300.218951
1,39986,7371.618388
1,24566,7414.703485
1,26450,7461.165725
-1,54843,7558.148153
-1,39963,7628.743424
-1,40118,7699.717923
1,18853,7733.1536
-1,54574,7829.934122
1,37770,7896.571921
-1,24571,7938.97057
1,29431,7991.354221
1,19438,8025.903172
-1,48520,8111.727116
-1,34259,8171.592764
-1,44373,8249.434756
-1,25190,8293.615962
-1,28766,8344.562183
-1,51127,8434.394655
-1,25877,8479.584245
1,19888,8514.944269
1,27551,8563.461495
1,26670,8610.747492
1,19282,8645.079592
1,17534,8676.011039
1,32941,8733.686592
-1,51398,8823.774426
