#{"t_start": 1590434661.1793418, "env_id": "eximo-v0"}
r,l,t
1,12975,33.323259
1,19613,85.168145
1,27113,156.36451
1,11749,187.266164
1,16340,230.594201
-1,15376,271.595104
1,27064,344.307299
-1,26814,415.052054
1,32663,502.957621
1,22093,562.171158
1,16058,605.928242
1,25768,675.19851
-1,23612,738.579005
1,29737,818.02499
1,21041,874.065624
1,19396,926.434146
1,20951,983.367622
1,34620,1074.720676
-1,24893,1139.681691
1,29747,1216.890233
1,44500,1333.424045
-1,29694,1410.624
1,34212,1500.188861
1,42458,1611.008566
1,67127,1785.366735
1,43170,1898.194119
