#{"t_start": 1590692093.9066315, "env_id": "eximo-v4"}
r,l,t
-2175,2215,9.734465
-1436,1460,14.155798
-1829,1869,19.81601
-825,851,22.780676
-19972,20000,84.984038
-19992,20000,141.603656
-19998,20000,180.957987
-19998,20000,226.79024
-19998,20000,268.991541
-19998,20000,312.058272
-19998,20000,354.587648
-19998,20000,396.717772
-19998,20000,438.293953
-19998,20000,482.780123
-19998,20000,523.091467
-19998,20000,566.728211
-19998,20000,611.097932
-19998,20000,650.469486
-19998,20000,691.893296
-19998,20000,732.238826
-19998,20000,772.58289
-19998,20000,812.12856
-19998,20000,851.99653
-19998,20000,889.661195
-19998,20000,914.54944
-19998,20000,938.924013
-19998,20000,962.898572
-19998,20000,986.785663
-19998,20000,1010.369773
-19998,20000,1033.98082
-19998,20000,1057.939575
-19998,20000,1081.936284
-19998,20000,1108.161313
-19998,20000,1133.735073
-19998,20000,1158.140053
-19998,20000,1182.563421
-19998,20000,1206.9418
-19998,20000,1231.378932
-19998,20000,1255.431782
-19998,20000,1279.823293
-19998,20000,1304.138224
-19998,20000,1328.289978
-19998,20000,1352.857099
-19998,20000,1377.12813
-19998,20000,1401.460026
-19998,20000,1425.655884
-19998,20000,1449.862252
-19998,20000,1474.190291
-19998,20000,1498.413551
-19998,20000,1522.776924
-19998,20000,1547.227618
-19998,20000,1571.461664
-19998,20000,1595.82928
