#{"t_start": 1590690128.7288992, "env_id": "eximo-v4"}
r,l,t
-2206,2246,2.661054
-1097,1133,3.48807
-1397,1431,4.437076
-4936,4980,7.946408
-19992,20000,23.204285
-19992,20000,36.74613
-19990,20000,49.890711
-19992,20000,64.221027
-19994,20000,78.234307
-19998,20000,92.416315
-19994,20000,106.356408
-19992,20000,120.579049
-19988,20000,134.349772
-19992,20000,147.220312
-19990,20000,160.610834
-19990,20000,173.575276
-19998,20000,187.195932
-19996,20000,201.025814
-19996,20000,215.127759
-19996,20000,229.684417
-19996,20000,244.124723
-19992,20000,258.777853
-19998,20000,272.902653
-19996,20000,287.379051
-19992,20000,301.738143
-19994,20000,315.366904
-19990,20000,329.101356
-19986,20000,343.138672
-19986,20000,356.812398
-19990,20000,370.422469
-19986,20000,384.074821
-19996,20000,398.240222
-19990,20000,412.022239
-19990,20000,425.51577
-19994,20000,439.602323
-19996,20000,454.195796
-19998,20000,468.517663
-19998,20000,482.396035
-19996,20000,496.947294
-19994,20000,510.895005
-19994,20000,524.718154
-19992,20000,538.641586
-19994,20000,552.605634
-19998,20000,566.30999
-19992,20000,580.240704
-19992,20000,593.393862
-19990,20000,606.515674
-19996,20000,621.132875
-19988,20000,634.373991
-19994,20000,648.423093
-19996,20000,663.021423
-19990,20000,677.399909
-19996,20000,691.694567
